Data Time,weather,T(degC),rain(mm),wv(m/s),wd,p(mbar),rh(%),cc(%)
2024/11/18 23:00,0,22.8,0,9.8,1,1014.1,69.9,49.3
2024/11/18 02:00,0,21.7,0,10.1,1,1014.3,71.4,71.7
2024/11/18 05:00,0,20,0,10.7,1,1014,70.1,58.1
2024/11/18 08:00,0,20.6,0,10.4,1,1015.4,72.4,79.9
2024/11/18 11:00,0,20.8,0,7.9,1,1016.9,75.2,79.9
2024/11/18 14:00,0,17.2,0,7.3,1,1014.8,74.7,79.9
2024/11/18 17:00,0,17.2,0,7.5,1,1013.9,74.2,79.9
2024/11/18 20:00,0,17.2,0,6.7,1,1015.2,74,79.9
2024/11/19 08:00,0,20.6,0,10.4,1,1015.4,72.4,79.9
2024/11/19 11:00,0,20.8,0,7.9,1,1016.9,75.2,79.9
2024/11/19 14:00,0,17.2,0,7.3,1,1014.8,74.7,79.9
2024/11/19 17:00,0,17.2,0,7.5,1,1013.9,74.2,79.9
2024/11/19 20:00,0,17.2,0,6.7,1,1015.2,74,79.9
2024/11/19 23:00,2,17.8,1,7,1,1016,83,97.1
2024/11/19 02:00,3,17.8,3.1,7.2,1,1015.2,83,99.7
2024/11/19 05:00,3,17.4,6.1,7.9,1,1014.6,86.1,100
2024/11/20 08:00,3,15.2,7.6,7.6,1,1016,87.2,99.9
2024/11/20 11:00,3,15.6,9.5,10.5,1,1017,87.7,99.9
2024/11/20 14:00,3,16.1,7.7,10.7,1,1014.3,87.9,99.9
2024/11/20 17:00,3,16.7,3.8,10,1,1013.9,88.1,100
2024/11/20 20:00,2,16.1,2.9,9.7,1,1015.3,87.9,100
2024/11/20 23:00,2,18.8,1.8,7.2,1,1015.4,84.7,99.9
2024/11/20 02:00,3,17.3,5.3,7.2,1,1014.6,81.8,100
2024/11/20 05:00,3,17.6,6,7.7,1,1013.8,82.7,100
2024/11/21 08:00,2,17.6,1.8,7.9,1,1015.1,83.6,100
2024/11/21 11:00,3,18.5,5.5,7.9,1,1015.8,84.4,100
2024/11/21 14:00,3,17,4.5,7.6,1,1013.5,85.2,100
2024/11/21 17:00,1,15.5,0,7.4,1,1013,85.5,87
2024/11/21 20:00,0,15.2,0,7.9,1,1014.7,75.6,30.1
2024/11/21 23:00,2,15.2,2.3,2.5,1,1015.4,86.2,70
2024/11/21 02:00,2,15.5,2.3,2.6,1,1014.9,85.8,70
2024/11/21 05:00,2,16.5,2.3,3.3,1,1014.4,83,70
2024/11/22 08:00,2,18,2.3,2.9,1,1015.7,80.1,70
2024/11/22 11:00,0,20,0,3,1,1016,73.9,10.1
2024/11/22 14:00,0,21.8,0,3.3,1,1013.2,70.9,10.1
2024/11/22 17:00,0,20.9,0,2.7,1,1012.5,67.9,10.1
2024/11/22 20:00,0,18.7,0,2.8,1,1014.1,64.9,10.1
2024/11/22 23:00,0,17.3,0,2.4,1,1015,74.4,10.1
2024/11/22 02:00,0,16.7,0,2.8,1,1014.9,77.1,10.1
2024/11/22 05:00,0,16.2,0,3.1,1,1014.9,80.6,10.1
2024/11/23 08:00,0,17.7,0,3.3,1,1016,68.6,10.1
2024/11/23 11:00,0,20.4,0,3.3,1,1014.6,65.6,10.1
2024/11/23 14:00,0,22.8,0,3.1,2,1013.1,64.8,10.1
2024/11/23 17:00,0,21.3,0,2.9,1,1013.4,67.4,11.6
2024/11/23 20:00,0,18.7,0,2.3,1,1013.7,59.1,20.3
2024/11/23 23:00,0,17.2,0,2.9,1,1013.7,79.5,14.5
2024/11/23 02:00,0,16.2,0,3.3,1,1013.7,79.6,10.1
2024/11/23 05:00,0,17.6,0,3.1,1,1013.9,79.7,10.1
2024/11/24 08:00,0,19.5,0,3.1,1,1014.2,75.4,10.1
2024/11/24 11:00,0,21.1,0,3.1,1,1012.6,71.1,10.1
2024/11/24 14:00,0,23,0,3.3,2,1011,72.8,10.1
2024/11/24 17:00,0,23.4,0,2.6,1,1011.4,69.4,10.1
2024/11/24 20:00,0,23.8,0,3.2,1,1011.8,67.1,10.1
2024/11/24 23:00,0,20.3,0,7.1,1,1012.1,84.9,13.1
2024/11/24 02:00,0,19.7,0,7.5,1,1012.5,82.6,26.9
2024/11/24 05:00,0,17.9,0,7.8,1,1013,81.4,33.5
